page,chars_extracted,words_extracted,preview
1,231,30,COMPENDIUM  OF  GOVERNMENT OF INDIA SCHEMES AND  PROGRAMMES RELEVANT TO THE  NORTH EASTERN STATES               Compiled by:  NERCORMP  NORTH EASTERN REGION COMMUNITY RESOURCE  MANAGEMENT PROJECT  SHILLONG - 793 003   November 2020
2,986,138,1 CONTENTS     Name of Schemes Page No.   1. Ministry of Agriculture & Farmers Welfare  1.1 Minimum Support Price Scheme 10  1.2 Marketing research and information network (under Integrated Scheme for  Agricultural Marketing -ISAM) 11  1.3 Central Herd Registration Scheme 12  1.4 National Food Security Mission 13  1.5 Rashtriya Krishi Vikas Yojana Remunerative Approaches for Agriculture  and Allied sector Rejuvenation (RKVY -RAFTAAR) 15  1.6 National Mission for Sustainable Agriculture (NMSA) 16...
3,879,130,"2 1.16 Gramin Agricultural Markets (GrAMs) 39   2. Ministry of Fisheries, Animal Husbandry and Dairying  2.1 Assistance to Fodder Block Making Units 41  2.2 Fodder Seed Procurement and Distribution 42  2.3 Assistance for Introduction of Hand Driven Chaff Cutter 43  2.4 Assistance for Establishment of Area Specific Mineral Mixture / Feed  Pelleting / Feed Manufacturing Unit 43  2.5 National Livestock Mission (NLM) 44   3. Ministry of Commerce and Industry  3.1 Export Promotion Capital Goods (EPCG..."
4,841,132,3 5.2 National Culture Fund (NCF) 60  5.3 Guru Shishya Parampara Scheme 62  5.4 Young Talented Artistes Scheme 63  5.5 Cultural Function and Production Grant Scheme (CFPGS) 64  5.6 Seva Bhoj Yojna 65   6. Ministry for Development of North Eastern Region  6.1 North East Special Infrastructure Development Schemes (NESIDS) 68   6.2. North Eastern Council  6.2.1 Schemes of the North Eastern Council 69  6.2.2 Guidelines for selecting proposals under head for Promotion of  North Eastern Region [para 2...
5,1010,142,"4  8. Ministry of Environment, Forest and Climate Change  8.1 National Afforestation Programme 85   9. Ministry of Finance  9.1 National Pension System (NPS) 88  9.2 Pradhan Mantri Jan Dhan Yojana (PMJDY) 90  9.3 Pradhan Mantri Jeevan Jyoti Bima Yojana (PMJJBY) 91  9.4 Pradhan Mantri Suraksha BimaYojana (PMSBY) 93  9.5 Atal Pension Yojana (APY) 94   10. Ministry of Food Processing Industries  10.1 Mega Food Park 96  10.2 Promotional Activities through National /International Exhibitions/ Fairs  ..."
6,1035,148,"5 11.4 Universal Immunisation Programme 128  11.5 National Vector Borne Diseases Control Programme 132  11.6 Integrated Disease Surveillance Programme (IDSP) 135  11.7 Janani Suraksha Yojana (JSY) 137  11.8 National Programme for Prevention and Control of Deafness (NPPCD) 139  11.9 Rashtriya Swasthya Bima Yojana (RSBY) 142  11.10 National Programme for Prevention and Control of Cancer, Diabetes,  Cardiovascular Diseases and Stroke (NPCDCS) 143  11.11 National Programme for Health Care of the Eld..."
7,911,125,"6  13. Ministry of Human Resource Development  13.1 Rashtriya Uchchatar Shiksha Abhiyan (RUSA) 170  13.2 Samagra Shiksha 172   14. Ministry of Micro, Small and Medium Enterprises  14.1 International Cooperation (IC) 175  14.2 Prime Minister‟s Employment Generation Programme (PMEGP) 179  14.3 Marketing Assistance Scheme 182  14.4 Entrepreneurship and Skill Development Programme 183  14.5 Coir Vikas Yojana (CVY) 184   14.6 Khadi and Village Industries Commission  14.6.1 Pottery making activity und..."
8,1051,152,7 16.1 Grid Connected Rooftop and Small Solar Power Plants Programme 201   17. Ministry of Rural Development  17.1 National Social Assistance Programme (NSAP) 203  17.2 Pradhan Mantri Gram Sadak Yojana (PMGSY) 204  17.3 Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA) 205  17.4 Deendayal Antayodaya Yojana - National Rural Livelihoods Mission  (NRLM) 208  17.5 Deen Dayal Upadhyaya Grameen Kaushalya Yojana (DDU -GKY) 209  17.6 Pradhan Mantri Awas Yojana – Gramin (PMAY -G) 211  17.7...
9,947,141,"8 19.1 Entrepreneurship Programme 267  19.2 Adopt a Heritage „Apni Dharohar, Apni Pehchaan‟ 269   20. Ministry of Tribal Affairs  20.1 Scheme of Strengthening Education among Scheduled Tribe (ST) Girls in  Low Literacy Districts 272  20.2 Scheme of Grant -In-Aid to Voluntary Organisations Working For the  Welfare of Scheduled Tribes 275  20.3 Vocational Training in Tribal Areas 278  20.4 Special Central Assistance (SCA) to Tribal Sub Scheme (TSS) 280   21. Ministry of Water Resources, River Deve..."
10,255,40,9 22.7 Beti Bachao Beti Padhao (BBBP) 300  22.8 Swadhar Greh 301   23. Ministry of Youth Affairs and Sports  23.1 National Service Scheme (NSS) 303  23.2 National Youth Development Fund 306  23.3 National Programme for Youth and Adolescent Development 308
11,1950,318,"10 Ministry of Agriculture & Farmers Welfare  1.1 Name of Scheme: Minimum Support Price Scheme  Type of scheme : Central Sector Scheme  The Minimum Support Prices were announced by the Government of India for the first time in  1966 -67 for Wheat in the wake of the Green Revolution and extended harvest, to save the  farmers from depleting profits. Since then, the MSP regime has been expanded to many crops.  Minimum Support Price is the price at which government purchases crops from the farmers, ..."
12,2202,317,"11 • Views of State Governments   • Views of Ministries   • Other relevant factors.   Funding Pattern:   MSP is price fixed by Government of India to protect the farmers against excessive fall in price  during bumper production years. The minimum support prices are a guarantee price for their  produce from the Government. The MSP is calculated and recommended by the CACP. For the  calculation of the MSP, the CACP takes into account a comprehensive view of the entire  structure of the economy of ..."
13,1772,248,"12 • To facilitate collection and dissemination of information related to better price realization  and market access by the farmers.   Salient features :   NIC has created a user friendly software package / portal to facilitate organization and  transmission of market data which is called AGMARKNET.   Support for: Supply of computers & other peripherals, & IT instruments; training of market  personnel in handling of hardware and software & incentivizing them in monetary terms to  upload data.  ..."
14,2260,317,13 ii. Cataloguing of superior germplasm of the selected breeds in their breeding tracts as well as  breeding farms through milk recording and registration.   iii. To disseminate information on registered animals for sourcing of breeding material and inter -  farm and inter-breeder exchange of animals.   iv. To promote conservation of selected indigenous breeds by providing incentives to breeders.   v. To regulate sale/purchase of elite animals to ensure and enforce quality control for further  ...
15,1854,278,"14 The Mission is being continued during 12th Five Year Plan with new targets of additional  production of food grains of 25 million tons of food grains comprising of 10 million tons rice, 8  million tons of wheat, 4 million tons of pulses and 3 million tons of coarse cereals by the end of  12th Five Year Plan.   Type of scheme : Central Sector Scheme   Objectives:   The following are the objectives of this scheme:   • Increasing production of rice and pulses through area expansion and productiv..."
16,1958,281,"15 ▪ Speedy implementation of programmes through active engagement of all the  stakeholders at various levels.   ▪ Promotion and extension of improved technologies i.e., seed, Integrated Nutrient  Management including micronutrients (like iron, cobalt, copper etc), soil  amendments, Integrated Pest Management (IPM) and resource conservation  technologies along with capacity building of farmers.   ▪ Flow of fund would be closely monitored to ensure that interventions reach the target  beneficiari..."
17,2362,315,"16 Based on feedback received from States, experiences garnered during implementation in the 12th  Plan and inputs provided by stakeholders, RKVY guidelines have been revamped as RKVY –  RAFTAAR - Remunerative Approaches for Agriculture and Allied sector Rejuvenation to  enhance efficiency, efficacy and inclusiveness of the programme for the remaining period of the  Fourteenth Finance Commission .   Type of scheme : Central Sector Scheme  Year of Commencement: 2007 -08  Objectives:  The main obj..."
18,2329,317,"17 & water conservation, water use efficiency, soil health management and rainfed area  development. The focus of NMSA will be to infuse the judicious utilization of resources of  commons through community based approach.   Type of scheme : Central Sector Scheme  Year of Commencement: 2010  Objectives:  1. To make agriculture more productive, sustainable, remunerative and climate resilient by  promoting location specific Integrated/Composite Farming Systems;  2. To conserve natural resources thr..."
19,2809,370,"18 • Promoting effective management of available water resources and enhancing water use  efficiency through application of technologies coupled with demand and supply side  management solutions;  • Encouraging improved agronomic practices for higher farm productivity, improved soil  treatment, increased water holding capacity, judicious use of chemicals/ energy and  enhanced soil carbon storage;  • Creating database on soil resources through land use survey, soil profile study and soil  analysi..."
20,2935,403,19 encourage local participation and for future replication of the model in larger areas.  Supplementary support from this component will be admissible for gap - filling resource  conservation activities under converging programmes. RAD clusters should have soil  analysis/soil health card /soil survey maps to justify the interventions proposed and at least 25%  of the farming system area will have to be covered under On Farm Water Management. Farming  Systems recommended by ICAR‟s Contingency Pl...
21,2313,306,"20 the domain of climate smart sustainable management practices and integrated farming system  suitable to local agro - climatic conditions. Comprehensive pilot blocks will be supported to  illustrate functional mechanism for dissemination of rainfed technologies, planning, convergence  and coordination with flagship schemes/Missions like MGNREGS, IWMP, Accelerated  Irrigation Benefit Programme (AIBP), RKVY, NFSM, NHM, NMAET etc. Such an integrated  action of input and output flows across agricu..."
22,2174,314,"21 predicted to reduce yields by 4.5 to 9 percent, depending on the magnitude and distribution of  warming. Since agriculture makes up roughly 16 percent of India‟s GDP, a 4.5 to 9% negative  impact on production implies a cost of climate change to be roughly up to 1.5 percent of GDP  per year. The Government of India has accorded high priority on research and development to  cope with climate change in agriculture sector. The Prime Minister‟s National Action Plan on  climate change has identifi..."
23,2006,273,"22 1.8 Name of Scheme: Integrated Scheme for Agricultural Marketing (ISAM)   Integrated Scheme for Agricultural Marketing (ISAM) is to provide farmers with access to  competitive markets with adequate infrastructure including cold chain logistics, to enable them  to realise better prices on the one hand and providing nutritious food to consumers at stable and  affordable prices on the other.   Central Government has been promoting creation and improvement of marketing infrastructure,  capacity b..."
24,2459,337,23 • To use ICT as a vehicle of extension to sensitize and orient farmers to respond to new  challenges in agricultural marketing.   • To establish a nation -wide information network system for speedy collection and  dissemination of market information and data on arrivals and prices for its efficient and timely  utilization by farmers and other stake holders.   • To support framing of grade standards and quality certification of agricultural commodities to  help farmers get better and remunerat...
25,2333,344,"24 Minimum promoter‟s contribution should be 20% of the project cost. Minimum term loan  (including subsidy) to be sanctioned by the Financial Institutions should be 50% of the project  cost.   For Infrastructure Projects Other Than Storage Infrastructure the rate of subsidy (on capital cost)  for North Eastern States, Sikkim, UTs of Andaman & Nicobar and Lakshadweep Islands, hilly  areas is 33.33%, subject to a maximum of Rs. 400 lakhs. The subsidy rate (on capital cost) for  Registered FPOs, P..."
26,1299,185,"25 East & Himalayan States, National Bamboo Mission, National Horticulture Board, Coconut  Development Board and Central Institute for Horticulture, Nagaland.   Type of scheme : Central Sector Scheme  Year of Commencement: 2014 -15  Objectives:  • It seeks to provide technical advice and administrative support to state governments/ SHM/  state horticultural missions for programmes such as Saffron Mission and Vegetable Initiative for  Urban Clusters  • The mission aims to promote holistic growth ..."
