section,url,final_url,status,rendered_html_chars,text_chars,text_words,headings_count
Introduction,https://nsc.mospi.gov.in/41-introduction,https://nsc.mospi.gov.in/41-introduction,200,1639301,7296,1066,4
Crop Area Statistics,https://nsc.mospi.gov.in/42-crop-area-statistics,https://nsc.mospi.gov.in/42-crop-area-statistics,200,1649592,17252,2778,4
Crop Production,https://nsc.mospi.gov.in/43-crop-production,https://nsc.mospi.gov.in/43-crop-production,200,1642334,10187,1626,4
Crop Forecasts,https://nsc.mospi.gov.in/44-crop-forecasts,https://nsc.mospi.gov.in/44-crop-forecasts,200,1638659,6549,981,4
Production of Horticultural Crops,https://nsc.mospi.gov.in/45-production-horticultural-crops,https://nsc.mospi.gov.in/45-production-horticultural-crops,200,1638146,6048,917,4
Land Use,https://nsc.mospi.gov.in/47-land-use,https://nsc.mospi.gov.in/47-land-use,200,1636941,4865,766,4
Irrigation Statistics,https://nsc.mospi.gov.in/48-irrigation-statistics,https://nsc.mospi.gov.in/48-irrigation-statistics,200,1640788,8619,1318,4
Agricultural Prices,https://nsc.mospi.gov.in/410-agricultural-prices,https://nsc.mospi.gov.in/410-agricultural-prices,200,1638266,6106,944,4
Fisheries Statistics,https://nsc.mospi.gov.in/416-fisheries-statistics,https://nsc.mospi.gov.in/416-fisheries-statistics,200,1638631,6502,1005,4
Forestry Statistics,https://nsc.mospi.gov.in/417-forestry-statistics,https://nsc.mospi.gov.in/417-forestry-statistics,200,1638199,6063,935,4
